Model,Accuracy,F1-score,F-Alarm
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
Validate,0.6133333333333333,0.4663360881542699,0.4999999827586213
